Customer_ID,Blue's Rating,Rating Given,Company Chosen,Starting Location,Ending Location,Started Time,Ending Time,Unavailable Scooter,Breakdown,Breakdown Time
5,0.5,1,1,Queens,Stony,6,49,FALSE,TRUE,11
6,0.5,3,1,Manhattan,Jones,8,64,FALSE,TRUE,26
9,0.4995005,3,1,Manhattan,Jones,13,59,FALSE,TRUE,30
17,0.4995005,2,1,Jones,Manhattan,19,90,FALSE,TRUE,40
3,0.5,3,0,Manhattan,Queens,5,119,FALSE,TRUE,47
14,0.4995005,7,1,Jones,Manhattan,18,68,FALSE,TRUE,55
15,0.4995005,5,1,Manhattan,Queens,19,81,FALSE,TRUE,55
20,0.4995005,9,1,Stony,Queens,23,57,FALSE,FALSE,0
30,0.49652433,3,1,Queens,Manhattan,36,104,FALSE,TRUE,60
16,0.4995005,8,0,Queens,Stony,19,63,FALSE,FALSE,0
12,0.4995005,4,0,Queens,Manhattan,16,118,FALSE,TRUE,64
2,0.5,9,0,Queens,Manhattan,2,66,FALSE,FALSE,0
19,0.4995005,6,1,Jones,Stony,23,91,FALSE,TRUE,67
37,0.495540139,3,0,Jones,Manhattan,42,118,FALSE,TRUE,70
23,0.498007968,8,0,Stony,Queens,29,73,FALSE,FALSE,0
10,0.4995005,8,0,Jones,Manhattan,13,75,FALSE,FALSE,0
41,0.495540139,8,1,Stony,Queens,45,84,FALSE,TRUE,77
8,0.4995005,9,0,Manhattan,Jones,12,78,FALSE,FALSE,0
29,0.49652433,8,1,Manhattan,Jones,36,82,FALSE,FALSE,0
39,0.495540139,6,0,Queens,Manhattan,43,108,FALSE,TRUE,82
28,0.49652433,9,0,Queens,Stony,32,84,FALSE,FALSE,0
18,0.4995005,9,0,Queens,Manhattan,23,85,FALSE,FALSE,0
1,0.5,8,0,Stony,Jones,1,92,FALSE,FALSE,0
22,0.498007968,9,1,Jones,Manhattan,27,92,FALSE,FALSE,0
27,0.49652433,8,1,Stony,Jones,31,92,FALSE,FALSE,0
48,0.497035573,8,0,Stony,Queens,51,93,FALSE,FALSE,0
49,0.497035573,9,0,Queens,Stony,52,93,FALSE,FALSE,0
31,0.49652433,9,0,Stony,Jones,36,94,FALSE,FALSE,0
33,0.49652433,8,0,Manhattan,Jones,39,96,FALSE,FALSE,0
25,0.49652433,6,0,Queens,Manhattan,30,129,FALSE,TRUE,97
43,0.497035573,8,0,Manhattan,Jones,47,98,FALSE,FALSE,0
21,0.498007968,9,0,Manhattan,Jones,26,99,FALSE,FALSE,0
11,0.4995005,9,0,Manhattan,Queens,16,100,FALSE,FALSE,0
97,0.531914894,0,0,Jones,Manhattan,100,166,FALSE,TRUE,101
32,0.49652433,9,1,Jones,Manhattan,37,105,FALSE,FALSE,0
62,0.492944497,9,1,Queens,Stony,67,105,FALSE,FALSE,0
87,0.505190311,2,1,Queens,Stony,92,144,FALSE,TRUE,106
103,0.524193548,0,0,Queens,Stony,105,159,TRUE,FALSE,0
85,0.50928382,3,1,Stony,Queens,91,137,FALSE,TRUE,108
42,0.495540139,8,0,Manhattan,Jones,46,109,FALSE,FALSE,0
60,0.495742668,5,1,Queens,Manhattan,66,147,FALSE,TRUE,109
40,0.495540139,9,1,Queens,Manhattan,45,111,FALSE,FALSE,0
7,0.5,9,0,Manhattan,Queens,10,112,FALSE,FALSE,0
